side,source_file,source_index,job_title,occupation_name,ability,canonical_competency,coding_status,merge_rationale,evidence
demand,,56,工艺工程师,海洋工程技术人员,船舶设计与改造能力,船舶设计研发能力,confirmed,对象为船舶设计、研发与工程分析,能够完成公司船舶设计、改造的工作任务（主要）
demand,,56,工艺工程师,海洋工程技术人员,海洋工程项目技术支持能力,海洋工程项目建设管理能力,confirmed,海洋工程建设、项目和运维管理合并,协助对外市场开发进行技术交流；协助进行商务和合同谈判；监督工程项目现场施工技术方案实施情况
demand,,56,工艺工程师,海洋工程技术人员,工艺技术改进与标准编制能力,机械材料能源动力能力,confirmed,机械、材料、能源动力和装备支撑合并,负责工艺技术改进项目实施指导、记录、存档；负责标准、专利及技术资料编制工作
demand,,53,船舶铜工,船舶制造人员,船舶管系安装与调试能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,完成船舶各类管系的拆旧、放样制作、安装、调试、交验工作
demand,,53,船舶铜工,船舶制造人员,船舶管系图纸识读与设备维护能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,需掌握管系原理图和零件图、安装图的读图技能；承担自用设备日常维护保养工作
demand,,58,海管整体设计研发工程师,海洋工程技术人员,海管整体设计分析能力,海洋工程装备设计制造能力,confirmed,海洋工程装备、结构和系统设计制造合并,负责海管整体设计分析工作，主要包括整体线型设计、极值分析、海缆铺设过程分析、水动力分析、疲劳分析、海底稳定性分析
demand,,58,海管整体设计研发工程师,海洋工程技术人员,海洋工程软件应用能力,海洋工程装备设计制造能力,confirmed,海洋工程装备、结构和系统设计制造合并,至少熟悉一种或多种分析软件，如AQWA、Riflex、Deepline、Flexom-3D、ORCAFLEX、AWQA、Sesam
demand,,59,业务岗（某央企）G08773,道路和水上运输工程技术人员,船舶港务操作能力,船舶运营安全管理能力,confirmed,对象为船舶运营、安全与船员服务,对接货主或船东，了解船舶需求并确定靠泊方案和反馈作业进度；对接码头确定最终靠泊计划、方案和办理靠泊离港资料
demand,,59,业务岗（某央企）G08773,道路和水上运输工程技术人员,船舶申报与单证缮制能力,港航物流与航运业务能力,confirmed,船舶代理、货运、配载和进出港业务归入港航物流,收集申报资料，缮制单证完成船舶单一窗口申报；对接引航单位，完成码头报船资料传送
demand,,62,码头操作员,海洋服务人员,码头船舶操作协调能力,港航物流与航运业务能力,confirmed,船舶代理、货运、配载和进出港业务归入港航物流,跟踪码头船舶装卸作业；船舶动态跟踪与协调；船舶作业期间相关信息交流和协调
demand,,62,码头操作员,海洋服务人员,码头设备设施操作与检查能力,港口机电与智慧港口能力,confirmed,港口机电设备和智慧港口技术合并,码头设备设施操作运行、检查、测试；码头船舶作业现场巡查
demand,,65,智慧码头方案经理,海洋工程技术人员,智慧港口方案设计能力,港口机电与智慧港口能力,confirmed,港口机电设备和智慧港口技术合并,负责智慧港口相关项目的需求分析、方案设计、技术实现及系统实施工作；熟悉业务流程及技术标准
demand,,65,智慧码头方案经理,海洋工程技术人员,智慧港口售前与项目实施能力,港口机电与智慧港口能力,confirmed,港口机电设备和智慧港口技术合并,协助进行售前支持和项目实施等工作；配合销售完成客户的售前技术支持和售后服务工作
demand,,68,售后服务工程师（船舶现场调试）,道路和水上运输工程技术人员,船舶电气调试与服务能力,船舶电气自动化能力,confirmed,对象为船舶电气自动化系统,负责产品安装、调试、客户交流、培训、交付方面的工作；配合船厂完成试航任务；负责与船东、船厂方技术沟通支持与问题的解决
demand,,71,机械工程师,道路和水上运输工程技术人员,港口机械管理与维护能力,港口机电与智慧港口能力,confirmed,港口机电设备和智慧港口技术合并,编制机械类设备运行、操作、保养的相关制度/流程/手册/标准等并监督、检查其落实情况；制定维保方案，监督、检查委外单位/外包单位的维保过程并进行验收
demand,,71,机械工程师,道路和水上运输工程技术人员,港口机械备件与技术分析能力,港口机电与智慧港口能力,confirmed,港口机电设备和智慧港口技术合并,建立和维护所分管设备的设备档案，包括：基础信息、定期技术分析数据、维保记录、重点部件更换记录等；编制所分管设备的备件/备品需求计划
demand,,67,码头经理,水产技术人员,船舶靠泊与配载管理能力,港航物流与航运业务能力,confirmed,船舶代理、货运、配载和进出港业务归入港航物流,负责与港口、外轮沟通船舶靠泊计划、配载方案、绑扎方案等，指导和及时协调船舶配载计划
demand,,67,码头经理,水产技术人员,港口件杂货操作能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,负责监督工程项目件杂货港口操作(如接货、装箱、装船等)、节约船舶租期、减少货损发生
demand,,67,码头经理,水产技术人员,船舶调度与租船管理能力,港航物流与航运业务能力,confirmed,船舶代理、货运、配载和进出港业务归入港航物流,负责公司船期的管理、调整和发布，参与航线规划和调整建议；负责参与签订租船合同，审核租赁船舶证书、船舶资质、航行安全管理等
demand,,22,通信技术预研高级工程师,海洋工程技术人员,船岸通信系统预研能力,船舶通导与智能系统能力,confirmed,对象为船舶通导、信息化与智能绿色系统,围绕高通量卫星关键技术及其创新应用，策划国家级、省部级重大项目；选题方向包括船岸一体融合通信系统与平台、全球海洋空间卫星宽带专网。
demand,,22,通信技术预研高级工程师,海洋工程技术人员,海洋通信标准化研究能力,水声声学与海洋通信技术能力,confirmed,水声、声学与涉海通信合并,追踪行业发展前沿，参加国内外标准化组织研究活动，推动技术进入国际、行业标准。
demand,,19,水下开发生产自动控制系统设计资深工程师,海洋工程技术人员,水下生产系统自控设计能力,海洋工程项目建设管理能力,confirmed,海洋工程建设、项目和运维管理合并,负责水下设备电气、仪表、控制系统设计及综合解决方案分析；负责水下开发生产自动控制系统设计；负责水下成套产品控制系统逻辑编译。
demand,,19,水下开发生产自动控制系统设计资深工程师,海洋工程技术人员,水下自控系统调试能力,海洋工程装备设计制造能力,confirmed,海洋工程装备、结构和系统设计制造合并,负责水下开发生产自控系统调试；负责与甲方技术对接，解决专业技术问题。
demand,,21,船机装备管理部船长,船舶指挥和引航人员,船舶安全与防污染监控能力,船舶运营安全管理能力,confirmed,对象为船舶运营、安全与船员服务,对船舶安全和防污染管理活动进行监控；代表船东监督船舶认真执行安全和环境保护方针。
demand,,21,船机装备管理部船长,船舶指挥和引航人员,船岸安全管理体系维护能力,船舶运营安全管理能力,confirmed,对象为船舶运营、安全与船员服务,协助公司船岸安全管理体系的推进、实施和保持工作；监督船舶接受主管机关的安全检查。
demand,,21,船机装备管理部船长,船舶指挥和引航人员,船舶应急与防台安全管理能力,船舶运营安全管理能力,confirmed,对象为船舶运营、安全与船员服务,负责协助公司船机装备管理部做好船舶施工、拖航、防台等相关安全工作；组织对海损及污染事故或险情的调查分析；负责船舶日常应急演练及现场突发事件的应急处置。
demand,,23,码头技术工程师,道路和水上运输工程技术人员,码头项目报批报建与设计审核能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,完成码头项目进度、预算等编制工作，进行项目可研、立项、设计审查、施工许可等报批报建工作；参加设计方案和施工方案讨论，对码头设计图纸进行审核。
demand,,23,码头技术工程师,道路和水上运输工程技术人员,码头工程施工管理能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,完成码头项目招投标的相关工作，编写招标文件和施工合同等；对码头项目施工过程管理和监督。
demand,,26,港口资料员兼综合管理员（印尼） (MJ003391),道路和水上运输工程技术人员,港口工程资料管理能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,负责港口工程项目资料文件的收、发及存档；负责港口工程项目各分部分项验收资料，办理现场的工作联系单及相应资料，工程增补签证资料；负责收集和整理工程资料、竣工资料。
demand,,25,资深港口工程师（印尼） (MJ003388),道路和水上运输工程技术人员,港口工程建设管理能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,负责港口工程项目的建设管理工作，具体做好测量、质检、质量控制、进度控制等具体事务；负责工程招投标、预结算、竣工验收、资料归档、审计等工程技术管理工作。
demand,,25,资深港口工程师（印尼） (MJ003388),道路和水上运输工程技术人员,港口施工现场协调管理能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,负责港口在建项目施工现场的协调、监督、管理等。
demand,,28,海船驾驶员,船舶指挥和引航人员,海船安全航行管理能力,船舶运营安全管理能力,confirmed,对象为船舶运营、安全与船员服务,落实公司的安全航行管理制度；负责项目执行中与客户对接并处理现场问题；为船员提供岸基支持；船舶发生紧急情况时，做好公司应急响应。
demand,,28,海船驾驶员,船舶指挥和引航人员,航行数据记录与管理能力,低频跨域专业综合能力,tentative,低频长尾按跨域专业综合归并,航次记录与现场数据记录与整理。
demand,,32,工厂总经理,船舶制造人员,海上风电钢结构制造管理能力,海洋能源与海上风电工程能力,confirmed,海上风电、海洋能源和涉海能源合并,具有海上风电、大型钢结构制造等相关企业工厂总经理岗位3年以上工作经验；熟悉风电产品制作、金属加工有关的技术、产线、工序、设备和设施等。
demand,,32,工厂总经理,船舶制造人员,风电产品生产运营与交付管理能力,低频跨域专业综合能力,tentative,低频长尾按跨域专业综合归并,负责项目二级计划管理，并保证按期保质交付；具有生产计划、生产管理、生产运营、物流发运、项目交付等方面的管理能力。
demand,,40,注册环境影响评价工程师,海洋工程技术人员,海洋环评与海域使用论证能力,海事法律监管能力,confirmed,海事管理和航运法务监管合并,能独立完成环评报告书、海域使用论证报告书、竣工环保验收报告等环保咨询报告的编制工作；海洋类相关专业优先。
demand,,39,质检员,船舶制造人员,船舶制造质量检验能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,负责原材料、关键件的进公司检验；负责生产全过程主要工序的质量检验；负责产品出公司前的例行检验和定期确认检验工作；负责出具公司产品合格证和质检报告。
demand,,70,项目预算员,船舶制造人员,船舶项目预算与成本管控能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,根据公司下发费率标准和类似项目经验数据，协助市场营销中心进行投标报价；对下发项目组预算提出意见并进行二次分解下发；对关键项目分项进行专项管理并做收益改善课题，对成本超支较大风险点要提前预警；每月出具项目成本月报、收益改善跟踪、项目现金流预测、成本考核数据反馈、项目收付款跟踪审批。
demand,,72,产品经理,海洋工程技术人员,港口物流平台产品设计能力,港口机电与智慧港口能力,confirmed,港口机电设备和智慧港口技术合并,负责港口物流综合平台的产品设计工作，主动收集与挖掘内外用户需求，完成需求分析、需求设计及需求落地等；具备TMS/OMS/WMS/BMS/FBA等物流系统产品经验；具有国际物流企业，以及港航物流平台的工作经验。
demand,,76,电气工程师,海洋工程技术人员,船舶电气工程能力,船舶电气自动化能力,confirmed,对象为船舶电气自动化系统,进行船舶电气方案设计：负责接线图、电气原理图，控制板原理图以及客户接口文件设计和编制；有自动化控制，船舶电气设备组装，调试，维护经验者优先。
demand,,77,数值算法工程师,海洋工程技术人员,海洋工程高性能计算优化能力,海洋工程装备设计制造能力,confirmed,海洋工程装备、结构和系统设计制造合并,开展CAE、气象、海洋等HPC行业应用软件的特征分析与性能优化；熟悉Fortran等常用科学计算编程语言，熟悉CUDA/OpenCL等异构并行系统，熟悉MPI/OpenMP等并行计算模型，具有相关领域数值仿真代码编写经验。
demand,,79,电气工程师-系统集成（应届),道路和水上运输工程技术人员,电动船舶动力总成工程设计能力,船舶轮机动力能力,confirmed,对象为船舶轮机与动力系统,负责电动船舶的动力总成工程设计工作；负责电力系统的短路计算，协调性分析，谐波分析等系统分析和计算并出具报告工作；负责系统产品或系统的供应现场验收工作。
demand,,86,水产饲料客户代表（业务员）,渔业生产人员,水产饲料市场开发与技术服务能力,水产品加工质量与市场服务能力,confirmed,水产品加工、质量和市场服务合并,新客户（饲料经销商）开发以及老客户维护；开展养殖技术服务工作；完成其他专项工作：推广会、对比实验以及月度业务总结会议。
demand,,87,工程造价工程师,海洋工程技术人员,LNG工程造价与费用控制能力,海洋能源与海上风电工程能力,confirmed,海上风电、海洋能源和涉海能源合并,负责工程造价专业的价格文件编制及变更审批等工作；负责可研、初步设计等项目的估算、预算文件编制；负责EPC项目工程量清单及报价文件编制；负责项目收付款、项目费用控制工作；熟悉土建或安装工程造价专业方法和知识，能够使用造价软件。
demand,,85,海运报关员,海洋服务人员,海运报关与单证操作能力,港航物流与航运业务能力,confirmed,港航物流、海运业务和运输组织合并,整理订舱、报关、报检单据，使用系统进行海关报关电子辅助申报；现场海关递单，配合审价、查验等海关作业；能够独立完成保证金审批，打税，核税，退保等海关作业；能够熟练对接船公司、港口进出口单证操作、各种相关费用审核、测算。
demand,,91,宁波远洋运输股份有限公司驻钦州办事处操作,道路和水上运输工程技术人员,港口支干航线操作与订舱管理能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,掌握当地港口支干航线及船舶动态，提供相关信息给相关人员；熟练掌握公司操作系统及网上订舱系统，解答客户及有关单位的咨询；根据客户及业务员要求，合理洽订舱位。
demand,,92,宁波远洋运输股份有限公司驻钦州办事处操作,道路和水上运输工程技术人员,港口支干航线操作与订舱管理能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,掌握当地港口支干航线及船舶动态，提供相关信息给相关人员；熟练掌握公司操作系统及网上订舱系统，解答客户及有关单位的咨询；根据客户及业务员要求，合理洽订舱位。
demand,,96,海风工程公司副总经理（市场）,海洋工程技术人员,海上风电市场开发能力,海洋能源与海上风电工程能力,confirmed,海上风电、海洋能源和涉海能源合并,根据公司战略，制定市场开发工作计划和工作目标，梳理、获取市场信息并进行前期跟踪、勘察、尽职调查等工作。
demand,,96,海风工程公司副总经理（市场）,海洋工程技术人员,海上风电项目投标与商务谈判能力,海洋能源与海上风电工程能力,confirmed,海上风电、海洋能源和涉海能源合并,在总经理授权范围内代表公司与资源方、业主、招标代理、金融机构等进行接洽，组织协调公司投标工作，及中标后主合同谈判。
demand,,100,港口与航道监理工程师,道路和水上运输工程技术人员,港口与航道工程监理能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,具有国家监理工程师证书，注册专业为港口与航道专业；具有1年以上防波堤工作经验。
demand,,106,技术支持工程师（海工项目）(J10964),海洋工程技术人员,港口工程传动产品技术支持能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,熟悉工程传动产品变频器原理及应用；有钢铁、港口、建材、化工等行业传动产品应用经验优先考虑。
demand,,106,技术支持工程师（海工项目）(J10964),海洋工程技术人员,港口工程项目实施与方案设计能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,负责重点项目方案输出、标书制作、项目实施；配合销售拜访客户完成客户需求收集分析。
demand,,105,船务专员（日照）,道路和水上运输工程技术人员,船舶运营协调与港口作业管理能力,港航物流与航运业务能力,confirmed,船舶代理、货运、配载和进出港业务归入港航物流,跟踪运营船舶班期、码头靠离泊及现场作业等事项；协调内外部资源，保证船舶进出港和作业的顺畅。
demand,,105,船务专员（日照）,道路和水上运输工程技术人员,船舶配载与单证操作能力,港航物流与航运业务能力,confirmed,船舶代理、货运、配载和进出港业务归入港航物流,船舶进出口货物配载、舱单信息修改、船图报文核对等；各类系统操作和报表的制作与发送。
demand,,101,管道材料主管工程师,海洋工程技术人员,海洋平台管道材料工程设计能力,海洋工程装备设计制造能力,confirmed,海洋工程装备、结构和系统设计制造合并,负责海洋平台、LNG以及FPSO等石油化工类模块项目材料专业的详细设计工作内容；负责按照项目规格书的要求，完成详细设计数据单的编制与报批。
demand,,101,管道材料主管工程师,海洋工程技术人员,海洋工程管道材料采购技术澄清能力,海洋工程装备设计制造能力,confirmed,海洋工程装备、结构和系统设计制造合并,负责按照项目规格书的要求，与供应商进行技术澄清，完成Vendor Data的报批；独立完成管线阀门和特殊件等的采购技术澄清等工作。
demand,,109,生产运营经理,船舶制造人员,船舶海工生产计划管理能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,月度生产排班计划/BOM物料需求计划/人员配置计划/工具工装计划制定；熟悉海工装备/船舶建造/钢结构重工/海洋工程等行业的生产管理。
demand,,109,生产运营经理,船舶制造人员,船舶海工生产现场管理能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,生产现场管理：劳动纪律/工艺纪律/设备操作纪律/安全环境卫生纪律的检查与问题识别/改善执行；生产进度协调/物料供应协调/现场问题协调与处置。
demand,,111,项目经理,海洋工程技术人员,船舶方向产品开发项目管理能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,"3年及以上机械设计、船舶方向、发电机组方向产品的设计工作经验优先；有3年以上汽车行业研发项目管理工作的经验；熟悉IATF16949体系流程,并编制APQP、DFMEA等开发文件。"
demand,,114,锚固工程师,海洋工程技术人员,漂浮系统水动力分析能力,工程基础与问题分析能力,confirmed,工程基础、数理和问题分析合并,漂浮系统锚固计算及水动力分析，出具计算书；会使用Orcaflex/starccm+/AQWA或其他流体/水动力仿真软件
demand,,114,锚固工程师,海洋工程技术人员,海洋工程锚固方案设计能力,海洋工程装备设计制造能力,confirmed,海洋工程装备、结构和系统设计制造合并,负责项目锚固方案设计及关键部件选型；制作锚固技术营销资料
demand,,116,船厂设计师,道路和水上运输工程技术人员,船舶生产设计能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,负责船体/轮机/电气专业生产设计工作，包括三维建模、设备基座出图、现场施工放样问题处理
demand,,116,船厂设计师,道路和水上运输工程技术人员,船舶详细设计能力,船舶设计研发能力,confirmed,对象为船舶设计、研发与工程分析,负责船体/轮机/电气详细设计，包括设备技术协议签订、材料统计、图纸修改及施工配合
demand,,116,船厂设计师,道路和水上运输工程技术人员,船机电技术协调能力,船舶设计研发能力,confirmed,对象为船舶设计、研发与工程分析,负责就本专业与船东、船检、设计院及公司内部沟通协调
demand,,115,船厂技工（急招船电工）,船舶制造人员,船舶电气施工安装能力,船舶电气自动化能力,confirmed,对象为船舶电气自动化系统,负责船舶电气施工、电气设备安装、调试；会看电气图纸；会装配接线、放线、调试等工作
demand,,115,船厂技工（急招船电工）,船舶制造人员,船舶管道安装调试能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,船舶管道下料、装配、试压；管道安装、系统调试；会看图纸，会做管
demand,,115,船厂技工（急招船电工）,船舶制造人员,船舶轴舵系安装定位能力,船舶通导与智能系统能力,confirmed,对象为船舶通导、信息化与智能绿色系统,根据图纸，对船舶的轴舵系、全船机电设备进行定位安装；能看懂图纸并独立施工
demand,,115,船厂技工（急招船电工）,船舶制造人员,船舶焊接与装配能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,熟练使用手把焊和二氧化碳保护焊；熟悉实际割枪及焊钳操作
demand,,119,轮机详设工程师,海洋工程技术人员,船舶轮机详细设计能力,船舶轮机动力能力,confirmed,对象为船舶轮机与动力系统,主要负责公务船、巡逻船、旅游船等类型船舶各设计阶段的轮机，管系，通风空调，轴系等方面详细设计工作
demand,,118,船机电三大类生产管理主管与经理,船舶制造人员,船舶生产现场管理能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,负责整船建造管理，组织船舶分段建造、合拢及舾装件施工生产任务，合理调配生产和人力资源
demand,,118,船机电三大类生产管理主管与经理,船舶制造人员,船舶项目质量与成本控制能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,执行公司质量方针和质量目标，按产品质量标准和工艺标准组织生产，降低生产成本
demand,,121,安全员,船舶制造人员,船舶生产安全管理能力,船舶运营安全管理能力,confirmed,对象为船舶运营、安全与船员服务,协助制定安全生产规章制度和安全技术操作规程，开展安全生产检查，参与安全事故调查处理，有船舶行业或重工行业工作经验
demand,,122,安全员,船舶制造人员,船舶生产安全管理能力,船舶运营安全管理能力,confirmed,对象为船舶运营、安全与船员服务,协助制定安全生产规章制度和安全技术操作规程，开展安全生产检查，参与安全事故调查处理，有船舶行业或重工行业工作经验
demand,,130,安全专责（阳江）,海洋工程技术人员,海上风电工程安全管理能力,海洋能源与海上风电工程能力,confirmed,海上风电、海洋能源和涉海能源合并,搭建风电安全管理规范，对工程运维船舶重点防控；编制工程施工安全生产计划方案，包括应急预案、抗台等
demand,,131,海洋生态工程师,海洋工程技术人员,海洋生态评估与修复能力,海洋生物生态保育能力,confirmed,海洋生物、生态和保育合并,参与海岸带、海岛、海湾生态受损情况评估及分析；主要负责生物多样性现状评估、提升（修复）方案，开展生态系统修复方案制定
demand,,135,船舶高级工程师（轮机详细设计） 上海海工院,海洋工程技术人员,船舶轮机详细设计能力,船舶轮机动力能力,confirmed,对象为船舶轮机与动力系统,负责船舶轮机系统的设计工作；负责轮机专业的详细设计工作，设绘/校审轮机专业图纸；组织/参与轮机专业技术规格书的编写/校审工作。
