canonical_competency,original_ability_count,supply_occurrences,demand_occurrences,source_balance,dictionary_status,original_ability_examples
海洋工程装备设计制造能力,174,75,117,双端共有,confirmed,海洋装备工艺设计与开发能力 | 港口海岸及近海工程设计能力 | 现代航海工具使用能力 | FPSO上部模块管道详细设计能力 | 海工管道三维模型设计能力 | 海工管道设计标准应用能力 | 海洋工程力学分析能力 | 海洋工程测绘能力 | 海洋工程结构设计分析能力 | 海洋工程装备技术能力 | 海洋平台电仪系统设计能力 | 海洋机电液装备设计能力 | 现代航海工具应用能力 | FPSO电气系统设计能力 | FPSO管道详细设计能力
船舶轮机动力能力,124,107,82,双端共有,confirmed,船舶轮机详细设计能力 | 轮机工程问题分析能力 | 船舶动力装置技术管理能力 | 船舶轮机质量检验能力 | 机舱资源管理能力 | 船舶柴油机制造技术能力 | 船舶轮机管理能力 | 轮机工程设计与开发能力 | 船舶柴油机与辅机操作维护能力 | 船舶水动力计算与型线设计能力 | 轮机工程专业知识应用能力 | 轮机工程解决方案设计能力 | 轮机工程项目管理能力 | 轮机维护与修理能力 | 船舶动力系统集成研发能力
电子通信与自动控制能力,163,160,21,双端共有,confirmed,信号与信息处理能力 | 信号与系统分析能力 | 信息系统分析与设计能力 | 先进通信网络技术研究能力 | 海上应急通信能力 | 特种光纤与新型有源光纤研究能力 | 电子信息工程能力 | 电子电路设计能力 | 电子系统设计开发能力 | 电气设计与PLC编程能力 | 电磁场与微波技术能力 | 电路与电子技术基础能力 | 自动化工程研究能力 | 自动化系统设计开发能力 | 自动化系统调试与交付能力
水产养殖渔业技术能力,141,125,32,双端共有,confirmed,水产养殖技术服务能力 | 水产增养殖技术能力 | 水产养殖产业规划与管理能力 | 水产养殖创新创业能力 | 水产养殖技术开发与推广能力 | 水产养殖生产实践能力 | 水产养殖生产管理能力 | 水产养殖综合实践能力 | 水产动物疾病防控能力 | 水产动物疾病防治能力 | 水产动物营养与饲料能力 | 水产生物苗种繁育与养成能力 | 水产营养与饲料开发能力 | 水产遗传育种能力 | 分子育种能力
海洋工程项目建设管理能力,128,7,150,双端共有,confirmed,海洋工程项目管理能力 | 海工工程施工管理能力 | 海工模块结构生产设计能力 | 海工组块电仪项目管理能力 | 海工装备项目管理能力 | 海工项目SAP系统成本数据核查与协调能力 | 海工项目分包管理与协调能力 | 海工项目管理能力 | 海工项目质量安全进度费用综合管理能力 | 海工项目采购与分包成本审核能力 | 海工项目预算分解与费用追踪管理能力 | 海洋工程分包与界面管理能力 | 海洋工程变更管理能力 | 海洋工程市场分析能力 | 海洋工程结构及建造技术研究能力
机械材料能源动力能力,105,105,13,双端共有,confirmed,机械设计制造能力 | 制冷与空调工程设计能力 | 制冷低温工程能力 | 动力机械振动与噪声控制能力 | 动力机械设计分析能力 | 工程制图与机械设计能力 | 工程基础与机械设计能力 | 机械工程问题分析能力 | 机械系统设计开发能力 | 材料加工与成型能力 | 能源与动力工程能力 | 能源动力测试与实验能力 | 传动与控制能力 | 内燃机与排放控制技术能力 | 内燃机及动力装置研究能力
工程伦理安全可持续能力,83,105,12,双端共有,confirmed,工程伦理与社会责任意识 | 环境与可持续发展评价能力 | 海上安全与应急能力 | 环境与可持续发展意识 | 工程与社会影响评价能力 | 工程与社会责任意识 | 工程伦理与可持续发展意识 | 工程伦理与职业规范意识 | 救助与打捞工程能力 | 海上执法与法律应用能力 | 可持续发展与工程伦理意识 | 工程与社会影响评估能力 | 工程职业道德与规范履行能力 | NSM规则及安全管理体系应用能力 | 低碳节能与可持续发展意识
工程基础与问题分析能力,102,105,8,双端共有,confirmed,数学基础理论与方法能力 | 复杂工程问题解决能力 | 工程知识与问题分析能力 | 工程设计与制图能力 | 工程问题分析与建模能力 | 工程问题分析与研究能力 | 工程问题分析与解决能力 | 计算机与智能技术应用能力 | 设计开发解决方案能力 | 问题分析与研究能力 | 力学分析与应用能力 | 力学分析与计算能力 | 发现分析与解决问题能力 | 噪声控制能力 | 复合工程问题解决能力
航海驾驶与通导操作能力,71,107,5,双端共有,confirmed,航海英语应用能力 | 航海技术研究能力 | 航海技术解决方案设计能力 | 航海技术问题分析能力 | 智能航海技术应用能力 | 航海技术工程知识应用能力 | 航海气象与海洋环境分析能力 | GMDSS通信操作能力 | 航海仪器与通信设备操作能力 | 航海仪器操作维护能力 | 航海气象与海洋学应用能力 | 航海职业规范与伦理素养 | 航海项目管理能力 | GMDSS综合业务能力 | GMDSS通信与电子海图操作能力
低频跨域专业综合能力,111,62,49,双端共有,含暂定项,军用装备系统设计能力 | 动物部门综合管理能力 | 地球信息科学与技术应用能力 | 新基础型式研究能力 | 海洋生产设备管理能力 | 海洋航行器设计制作能力 | 海洋项目合同管理与交付能力 | 焊接工艺开发能力 | 焊接工艺方案制定与评审能力 | 焊接电源功率硬件开发能力 | 焊接质量分析与问题解决能力 | 物联网系统设计与开发能力 | 物联网系统设计开发能力 | 特种集装箱产品设计能力 | 环境与人文素养
海洋生物生态保育能力,100,75,30,双端共有,confirmed,海洋生物学基础能力 | 海洋生态评估与修复能力 | 海洋生物资源开发与利用能力 | 海洋馆生物健康管理能力 | 微藻分离纯化与培养能力 | 微藻实验数据记录与分析能力 | 微藻筛选评价能力 | 微藻藻种创制与培养能力 | 浮游植物检测与分析能力 | 海洋动物饲养与繁育管理能力 | 海洋动物饲养与训练管理能力 | 海洋底栖生物鉴定分析能力 | 海洋浮游生物与底栖动物鉴别能力 | 海洋生命科学分析研究能力 | 海洋生态与环境保护能力
港口机电与智慧港口能力,87,3,99,双端共有,confirmed,港口机电工程项目管理能力 | 港口起重设备电气运维能力 | 港口供配电工程设计能力 | 港口岸电与变频器现场调试能力 | 港口智慧平台项目管理能力 | 港口智能化设备升级改造能力 | 港口机械设备维修与保养能力 | 港口机械设备维修管理能力 | 港口机械设备预防性维护能力 | 港口物流智能算法应用能力 | 港口电气系统设计能力 | 港口设备自动化控制系统设计开发能力 | 散货港口门机操作能力 | 无人港口现场应用技术支持能力 | 智慧交通（海事港航）业务方案编制能力
工程管理经济质量能力,54,75,23,双端共有,confirmed,工程管理与经济决策能力 | 团队协作与项目管理能力 | 工程项目管理能力 | 项目管理能力 | 工程经济与项目管理能力 | 工程项目管理与经济决策能力 | 项目管理与经济决策能力 | 工程实践与项目管理能力 | 项目管理与团队协作能力 | 团队合作与项目管理能力 | 工程管理能力 | 项目管理与工程管理能力 | 项目管理与工程经济能力 | 企业竞争模拟与人力资源管理能力 | 体系认证与合规管理能力
生物化学食品支撑能力,96,98,0,供给主导,confirmed,生物化学与分子生物学能力 | 食品工程知识应用能力 | 分子生态学与生物信息学能力 | 化学与药学学科知识应用能力 | 化学分析与实验操作能力 | 化学学科基础与交叉应用能力 | 基因工程与细胞工程应用能力 | 基础生物学与实验技能 | 复杂生物技术问题分析能力 | 实验室操作与生物技术应用能力 | 微生物学与免疫学能力 | 数据统计与生物信息分析能力 | 水域生态与环境化学分析能力 | 海洋药学基础理论与实验技能 | 海洋药学研究方法与实验操作技能
海洋调查观测测绘能力,83,62,33,双端共有,confirmed,海洋调查观测能力 | 海洋测绘项目执行能力 | 海洋生态调查采样能力 | 海洋遥感算法研发能力 | 3S技术综合应用能力 | GIS设计与应用能力 | 出海样品采集能力 | 卫星海洋学应用能力 | 地理信息科学应用与开发能力 | 地理信息系统与生物信息学应用能力 | 地理信息系统与空间分析能力 | 地理信息系统开发能力 | 地理学综合分析能力 | 智能海洋探测与技术能力 | 气象信息系统与地理信息系统应用能力
海洋环境监测评价治理能力,76,69,20,双端共有,confirmed,海洋环境监测与评价能力 | 养殖水环境调控能力 | 环境监测与分析能力 | 海洋环境检测客户关系管理能力 | 海洋环境检测市场开发与销售能力 | 海洋环境科学能力 | 环境监测与评价能力 | 环境评价与管理能力 | 大气污染控制与处理能力 | 大气污染控制工程能力 | 大气污染控制工程设计能力 | 智慧环境与监测评价能力 | 气象海洋环境售前论证能力 | 气象海洋环境资料处理能力 | 水污染控制与处理能力
海洋科学综合研究能力,82,84,3,双端共有,confirmed,海洋科学研究与创新能力 | 海洋实验与实践操作能力 | 海洋科学基础研究能力 | 海洋科学综合研究能力 | 海洋专业实践与实习能力 | 海洋交叉学科应用能力 | 海洋学科竞赛与创新实践能力 | 海洋实习与野外调查能力 | 海洋实验设计实践能力 | 海洋科学与技术应用能力 | 海洋科学专业能力 | 海洋科学创新与科研实践能力 | 海洋科学前沿跟踪与创新能力 | 海洋科学基本理论与应用能力 | 海洋科学基础理论与知识
船舶市场商务与供应链能力,76,0,82,需求主导,confirmed,船舶产品客户服务管理能力 | 船舶制造采购管理能力 | 船舶海工无损检测市场开发能力 | 船舶海工无损检测市场开拓与销售能力 | 船舶海工检测项目商务谈判能力 | 船舶物资质量管理能力 | 油气船舶市场开拓能力 | 油气船舶销售管理能力 | 海工船舶合同与风险管理能力 | 海工船舶商务市场开发能力 | 海工船舶商务开发能力 | 海工船舶商务拓展与客户管理能力 | 海工船舶商务管理能力 | 电动船舶现场技术支持能力 | 船厂采购管理能力
水声声学与海洋通信技术能力,63,16,62,双端共有,confirmed,水声算法研发能力 | 声学软件算法开发能力 | 海洋声学技术能力 | 结构振动声学与水声学专业能力 | 编程与声学软件应用能力 | 声呐系统研发能力 | 水声信号处理算法研发能力 | 水声工程项目实施与管理能力 | 海洋光通信技术研究能力 | 压电水听器设计开发能力 | 声信息工程能力 | 声呐信号处理与算法开发能力 | 声呐信号处理算法能力 | 声呐研发团队管理能力 | 声学与电路设计能力
船舶通导与智能系统能力,64,29,47,双端共有,confirmed,船舶网络安全解决方案设计能力 | 船舶设计软件应用能力 | 智能船舶技术能力 | 船舶与海洋工程智能设计制造能力 | 船舶定位与导航能力 | 船舶监控系统项目管理能力 | 船舶网络安全产品开发能力 | 船舶网络安全体系建设能力 | 船舶网络安全方案设计能力 | 船舶网络安全项目实施能力 | 新能源与绿色船舶技术应用能力 | 新能源船舶储能系统售后能力 | 新能源船舶储能系统调试与运维能力 | 新能源船舶市场调研与可行性分析能力 | 新能源船舶项目全周期管理能力
土木交通水利工程能力,54,48,8,双端共有,confirmed,交通运输规划与管理能力 | 水利水电工程设计能力 | 交通土建工程能力 | 交通基础设施设计与建造能力 | 交通工程实践操作能力 | 交通工程检测与试验能力 | 交通工程管理与评价能力 | 交通工程系统分析能力 | 交通工程规划设计能力 | 交通管理系统分析设计实施维护能力 | 交通规划管理与智能建造能力 | 交通规划设计能力 | 交通运输实践与实习能力 | 交通运输工程能力 | 交通运输工程领域基础理论与专业知识
海洋信息智能数据能力,46,30,21,双端共有,confirmed,气象海洋信息化项目管理能力 | 海洋信息化产品销售能力 | 海洋信息技术应用能力 | 海洋数据处理与分析能力 | 海洋智能装备设计能力 | 军工方向海洋人工智能算法研发能力 | 数字海洋软件架构设计能力 | 智慧海洋电子信息能力 | 气象海洋信息化技术架构能力 | 气象海洋信息化技术管理能力 | 气象海洋信息化项目开发管理能力 | 气象海洋信息系统开发能力 | 气象海洋数据与方案设计能力 | 气象海洋数据分析与软件开发能力 | 气象海洋数据处理与理解能力
物理海洋气象分析能力,43,38,11,双端共有,confirmed,物理海洋学分析能力 | 气象海洋HPC应用支持能力 | 海洋数值模拟与计算能力 | 海洋数值模拟与预报能力 | 海洋气象AI算法研发能力 | HPC并行计算与优化能力 | 大气海洋数值模式开发优化能力 | 大气科学理论基础能力 | 大气科学计算与工程应用能力 | 天气预报与气候分析能力 | 应用气象学核心理论与知识 | 应用气象服务工程开发能力 | 数值天气预报与模拟能力 | 数值模拟与计算能力 | 极地海洋与气候变化研究能力
海洋地质地球物理能力,31,27,7,双端共有,confirmed,工程测量与地质勘察能力 | 海洋地球物理勘探能力 | 海洋地质与矿产资源勘查能力 | 古海洋学分析能力 | 地球物理勘探与资料解释能力 | 地球科学综合能力 | 地质学与海洋科学综合应用能力 | 地质海洋与地球科学分析能力 | 地震地质综合解释能力 | 层序地层学应用能力 | 岩矿鉴定与地质构造分析能力 | 工程测量与地质勘测能力 | 水文地质与水资源评价能力 | 沉积盆地分析能力 | 海底光缆产品工艺管理能力
环境工程治理能力,30,32,2,双端共有,confirmed,环境规划与管理能力 | 固体废物处理与处置能力 | 环境工程设计能力 | 储运系统安全与环境保护能力 | 固体废物处理与处置设计能力 | 土壤与地下水保护修复能力 | 土壤修复技术研发能力 | 废弃物处置与资源化能力 | 海产品加工废水处理运营管理能力 | 环境保护与生态文明意识 | 环境工程与社会影响评价能力 | 环境工程专业知识应用能力 | 环境工程专业能力 | 环境工程学科基础知识应用能力 | 环境工程实习与实践能力
海事法律监管能力,33,25,8,双端共有,confirmed,国际供应链与贸易能力 | 国际航运业务与法律能力 | 国际航运物流与贸易能力 | 国际贸易与国际航运能力 | 海事事故应急处理能力 | 海事信息技术应用能力 | 海事公共管理能力 | 海事危防管理能力 | 海事大数据与知识图谱应用能力 | 海事安全与应急能力 | 海事法律与执法能力 | 海事法律与治理能力 | 海事法规与公约应用能力 | 海事法规与劳工公约应用能力 | 海事法规与安全管理能力
文献写作与教育教学能力,23,27,0,供给主导,confirmed,文献检索与科技写作能力 | 文献检索与学术交流能力 | 科研创新与论文写作能力 | 专业文献查阅与写作能力 | 专业文献获取与科技写作能力 | 双师型教师队伍建设 | 基本文献阅读与学术动态跟踪能力 | 外文文献阅读与论文撰写能力 | 学术交流与科技写作能力 | 学术写作与表达能力 | 学术表达与交流能力 | 实验教学与实践能力 | 教材编写与选用能力 | 文献检索与科学研究能力 | 文献检索与终身学习能力
海洋材料化学与生物医药能力,20,21,0,供给主导,confirmed,海洋化学分析能力 | 化学海洋与地球化学分析能力 | 化学海洋学与海水分析能力 | 化学海洋学分析能力 | 同位素与地球化学分析能力 | 海水分析与综合利用实验能力 | 海洋化学与环境分析能力 | 海洋化学与环境化学分析能力 | 海洋化学专业基础知识与实验技能 | 海洋化学实验分析能力 | 海洋化学核心理论能力 | 海洋化学调查与分析能力 | 海洋地球化学分析能力 | 海洋应用型功能高分子材料能力 | 海洋材料研发与应用能力
船舶综合工程能力,19,6,13,双端共有,含暂定项,海上风电及船舶海工产品质检能力 | 海工船舶产能平衡与计划管理能力 | 海洋工程与船舶工程能力 | 港口船舶作业管理能力 | 现代船舶工具应用能力 | 船海工程与交通运输工程问题分析能力 | 船舶与航运技术能力 | 船舶工程与航海基础能力 | 船舶工程技术对外协调能力 | 船舶振动噪声分析工程能力 | 船舶海工新产业园规划能力 | 船舶港口外勤服务能力 | 船舶租后管理能力 | 船舶自主与终身学习能力 | 船舶舾装技术攻关与标准制定能力
水产品加工质量与市场服务能力,12,7,5,双端共有,confirmed,水产养殖技术规程与质量管理体系构建能力 | 水产动保产品技术支持与销售能力 | 水产品加工与海洋资源利用能力 | 水产品加工与质量控制能力 | 水产品质量安全管理能力 | 水产品质量检测能力 | 水产品食品研发能力 | 水产饲料市场开发与技术服务能力 | 海洋捕捞产品市场分析与方案定制能力 | 食品营养与健康分析能力 | 食品营养与健康管理能力 | 食品营养与安全评价能力
